Source	Interaction	Target
Rfx1	->	Ralgds
Rfx1	->	Rfx1
Rfx1	->	Strn4
Rfx1	->	Syt4
Rfx1	->	Actn1
Rfx1	->	Dapl1
Rfx1	->	Dock4
Rfx1	->	Ets1
Rfx1	->	Map4k3
Rfx1	->	Rfx1
Rfx1	->	Ttc12
Myb	->	Asap1
Myb	->	B4galt1
Myb	->	Baz2b
Myb	->	Foxn3
Myb	->	Golph3
Myb	->	Gse1
Myb	->	Kctd15
Myb	->	Myb
Myb	->	Notch2
Myb	->	Shf
Myb	->	Zfp536
Myb	->	Ccr7
Myb	->	Kctd1
Myb	->	Mbd5
Myb	->	Mef2a
Myb	->	Myb
Myb	->	Qser1
Myb	->	Satb1
Myb	->	Uspl1
Gmeb1	->	Abcb1b
Gmeb1	->	Lrrfip1
Gmeb1	->	BC005537
Gmeb1	->	Fbl
Gmeb1	->	Prpf3
Gmeb1	->	Sh2b3
Gmeb1	->	Smc4
Gmeb1	->	Ssbp3
Gmeb1	->	Tmem19
Thap11	->	Bcat2
Thap11	->	Ranbp10
Thap11	->	Srrm2
Thap11	->	Thap11
Thap11	->	Tubb5
Thap11	->	Ccpg1
Thap11	->	Eef2
Thap11	->	Hspa8
Thap11	->	Thap11
Thap11	->	Thap11
Sp4	->	Degs1
Sp4	->	Lrba
Sp4	->	Nasp
Sp4	->	Prkaa1
Sp4	->	Sp4
Sp4	->	Stk38
Sp4	->	Bhlha15
Sp4	->	Dennd4c
Sp4	->	Pnpla2
Sp4	->	S1pr1
Sp4	->	Sp4
Sp4	->	Tnfaip3
Sp4	->	Usp21
Sp4	->	Ypel5
Sp4	->	Rab3a
Sp4	->	Sp4
Sp4	->	Wnt10b
Tcf7	->	Sh2d1a
Tcf7	->	Tcf7
Tcf7	->	Aldh3a1
Tcf7	->	Asxl1
Tcf7	->	Cxcr4
Tcf7	->	Eif4ebp3
Tcf7	->	Emb
Tcf7	->	Fgf13
Tcf7	->	Foxp1
Tcf7	->	Gabrr2
Tcf7	->	Hmgn1
Tcf7	->	Klf3
Tcf7	->	Lef1
Tcf7	->	Pdcd4
Tcf7	->	Rapgef4
Tcf7	->	S1pr1
Tcf7	->	Sell
Tcf7	->	Selp
Tcf7	->	Tcf7
Tcf7	->	Ccr7
Tcf7	->	Cdkn1b
Tcf7	->	Ctla4
Tcf7	->	Dgka
Tcf7	->	Emb
Tcf7	->	Il7r
Tcf7	->	Lef1
Tcf7	->	Pik3ip1
Tcf7	->	Pim2
Tcf7	->	Sell
Tcf7	->	Sh2d1a
Tcf7	->	Tcf7
Tcf7	->	Tmem71
Tcf7	->	B3galt2
Tcf7	->	Tcf7
Tcf7	->	Ass1
Tcf7	->	Emb
Tcf7	->	Il7r
Tcf7	->	Pnoc
Tcf7	->	S1pr1
Tcf7	->	Stk38
Tcf7	->	Tcf7
Tcf7	->	Wnt6
Trp53	->	Dnmt3a
Trp53	->	Mid1
Trp53	->	Trp53
Trp53	->	Alad
Trp53	->	Dcaf5
Trp53	->	Bzw2
Trp53	->	Eif2s2
Trp53	->	Mgrn1
Trp53	->	Pa2g4
Trp53	->	E330013P04Rik
Trp53	->	Myo7a
Trp53	->	Rfx2
Trp53	->	Serf1
Trp53	->	Sox12
Trp53	->	Trp53
Trp53	->	Eif5a
Trp53	->	Pptc7
Trp53	->	Rpl14
Trp53	->	Rpl7
Trp53	->	Rps17
Trp53	->	Rps6kb1
Trp53	->	Susd3
