Source	Interaction	Target
Klf2	->	Celsr2
Klf2	->	Commd1
Klf2	->	Crip1
Klf2	->	Dnajc15
Klf2	->	Emp3
Klf2	->	Ezh2
Klf2	->	Fam65b
Klf2	->	Flna
Klf2	->	Gatad2a
Klf2	->	Gna15
Klf2	->	Grpel1
Klf2	->	Impdh1
Klf2	->	Itgb7
Klf2	->	Jagn1
Klf2	->	Jazf1
Klf2	->	Kcnn4
Klf2	->	Klf13
Klf2	->	Klf3
Klf2	->	Lef1
Klf2	->	Lgals1
Klf2	->	Lgals3
Klf2	->	Lrrc29
Klf2	->	Lrrfip1
Klf2	->	Lsp1
Klf2	->	Mdfi
Klf2	->	Mtch1
Klf2	->	Mtpn
Klf2	->	Nub1
Klf2	->	Pik3ip1
Klf2	->	Pmm1
Klf2	->	Ppp2ca
Klf2	->	Pprc1
Klf2	->	Pycard
Klf2	->	Rasgrp2
Klf2	->	Rgs19
Klf2	->	Rpl10
Klf2	->	Rpl41
Klf2	->	Runx2
Klf2	->	S100a10
Klf2	->	S100a4
Klf2	->	S1pr1
Klf2	->	S1pr4
Klf2	->	Sec61g
Klf2	->	Snx10
Klf2	->	Tagln2
Klf2	->	Tbc1d15
Klf2	->	Tmem116
Klf2	->	Tmem50a
Klf2	->	Tmsb10
Klf2	->	Tspo
Klf2	->	Ttyh2
Klf2	->	Txn1
Klf2	->	Vim
Klf2	->	Wasf2
Klf2	->	Wiz
Klf2	->	Acadvl
Klf2	->	Add3
Klf2	->	Ahnak
Klf2	->	AI467606
Klf2	->	Anp32a
Klf2	->	Anxa2
Klf2	->	Anxa6
Klf2	->	Arhgdib
Klf2	->	Arl4c
Klf2	->	Capg
Klf2	->	Ccdc12
Klf2	->	Cd47
Klf2	->	Cd9
Klf2	->	Cdc42
Klf2	->	Clic1
Klf2	->	Cmas
Klf2	->	Cnp
Klf2	->	Col7a1
Klf2	->	Commd8
Klf2	->	Crip1
Klf2	->	Cyba
Klf2	->	Dnajc15
Klf2	->	Emp1
Klf2	->	Emp3
Klf2	->	Fam65b
Klf2	->	Flna
Klf2	->	Gnas
Klf2	->	Gpr108
Klf2	->	Gramd3
Klf2	->	Gsn
Klf2	->	Il6ra
Klf2	->	Itga4
Klf2	->	Itgb7
Klf2	->	Klf3
Klf2	->	Lgals1
Klf2	->	Lgals3
Klf2	->	Lmna
Klf2	->	Lrrfip1
Klf2	->	Lsp1
Klf2	->	Myl12b
Klf2	->	Myl6
Klf2	->	Nkg7
Klf2	->	Pdlim1
Klf2	->	Pdlim5
Klf2	->	Pfn1
Klf2	->	Pomp
Klf2	->	Ppp1ca
Klf2	->	Pttg1
Klf2	->	Rac1
Klf2	->	Rasgrp2
Klf2	->	Reep5
Klf2	->	S100a10
Klf2	->	S1pr4
Klf2	->	Selplg
Klf2	->	Sgk1
Klf2	->	Slc9a3r1
Klf2	->	Smarcd2
Klf2	->	Spn
Klf2	->	Srpk1
Klf2	->	Sub1
Klf2	->	Syf2
Klf2	->	Tbc1d10c
Klf2	->	Thy1
Klf2	->	Tmem50a
Klf2	->	Tmsb10
Klf2	->	Tmsb4x
Klf2	->	Traf3ip3
Klf2	->	Trappc3
Klf2	->	Ube2g1
Klf2	->	Vim
Klf2	->	Zbtb32
Klf2	->	1500009L16Rik
Klf2	->	1700025G04Rik
Klf2	->	A630072M18Rik
Klf2	->	Ablim1
Klf2	->	Add1
Klf2	->	Aes
Klf2	->	AI467606
Klf2	->	Anp32e
Klf2	->	Anxa2
Klf2	->	Arl4c
Klf2	->	B3galt4
Klf2	->	Bcl11b
Klf2	->	Bin1
Klf2	->	Calm1
Klf2	->	Ccdc12
Klf2	->	Ccnd3
Klf2	->	Cd47
Klf2	->	Cdc42se1
Klf2	->	Clic1
Klf2	->	Cmtm7
Klf2	->	Commd8
Klf2	->	Crip1
Klf2	->	Dnajc15
Klf2	->	Dtx1
Klf2	->	Emp3
Klf2	->	Fam65b
Klf2	->	Fam69a
Klf2	->	Flna
Klf2	->	Fyb
Klf2	->	Glipr2
Klf2	->	Gm2a
Klf2	->	Gna15
Klf2	->	Gnas
Klf2	->	Gramd3
Klf2	->	Hmgb2
Klf2	->	Hp1bp3
Klf2	->	Ifngr1
Klf2	->	Insl6
Klf2	->	Itga4
Klf2	->	Itgb7
Klf2	->	Kcnn4
Klf2	->	Kif21b
Klf2	->	Klf13
Klf2	->	Klf3
Klf2	->	Klhl6
Klf2	->	Lgals1
Klf2	->	Lgals3
Klf2	->	Lsp1
Klf2	->	Mtch1
Klf2	->	Mtpn
Klf2	->	Mxra8
Klf2	->	Myl6
Klf2	->	Ostf1
Klf2	->	Pik3r1
Klf2	->	Plec
Klf2	->	Ppp1r12a
Klf2	->	Prex1
Klf2	->	Ptpra
Klf2	->	Pttg1
Klf2	->	Pycard
Klf2	->	Rab8a
Klf2	->	Rac1
Klf2	->	Racgap1
